[I 2024-05-27 17:40:48,717] A new study created in memory with name: no-name-f1ed3c11-01bd-4200-abc5-aaae8f6f3d22
[I 2024-05-27 22:38:15,948] Trial 7 finished with value: 207.02098117874348 and parameters: {'lr': 0.07020836033359341, 'hs': 6, 'en': 493, 'dropout': 0.004714028399046116}. Best is trial 5 with value: 34.20088936741696.
[I 2024-05-27 22:44:22,850] Trial 8 finished with value: 100.00880070568412 and parameters: {'lr': 0.09315047637854719, 'hs': 5, 'en': 358, 'dropout': 0.0019482952771048968}. Best is trial 5 with value: 34.20088936741696.
[I 2024-05-27 22:49:23,624] Trial 9 finished with value: 37.118582557730726 and parameters: {'lr': 0.006563317201965996, 'hs': 7, 'en': 292, 'dropout': 0.004247745535402974}. Best is trial 5 with value: 34.20088936741696.
[I 2024-05-27 22:50:32,862] Trial 10 finished with value: 75.30498854780777 and parameters: {'lr': 0.0454358351867335, 'hs': 4, 'en': 59, 'dropout': 0.0003106479500882952}. Best is trial 5 with value: 34.20088936741696.
[I 2024-05-27 22:54:27,565] Trial 11 finished with value: 2.5499174386939005 and parameters: {'lr': 0.06407227114867939, 'hs': 8, 'en': 223, 'dropout': 0.0003118957196687228}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 22:58:12,086] Trial 12 finished with value: 8.623615741927603 and parameters: {'lr': 0.061303163029437564, 'hs': 8, 'en': 217, 'dropout': 0.002317128497358766}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:01:34,453] Trial 13 finished with value: 44.6263102267338 and parameters: {'lr': 0.06067922012423737, 'hs': 8, 'en': 189, 'dropout': 0.001810138640905006}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:04:56,488] Trial 14 finished with value: 40.91128279885692 and parameters: {'lr': 0.030492457831894706, 'hs': 8, 'en': 193, 'dropout': 0.002693025127771327}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:06:41,735] Trial 15 finished with value: 47.55842898667331 and parameters: {'lr': 0.06191059657106911, 'hs': 8, 'en': 94, 'dropout': 0.006008932712331598}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:09:02,212] Trial 16 finished with value: 74.16396708297748 and parameters: {'lr': 0.036476417977924405, 'hs': 7, 'en': 130, 'dropout': 0.0026923936043417264}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:09:29,278] Trial 17 finished with value: 83.34831703396799 and parameters: {'lr': 0.057724293285907786, 'hs': 7, 'en': 14, 'dropout': 8.140089553099195e-05}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:13:26,553] Trial 18 finished with value: 69.25266148181394 and parameters: {'lr': 0.07094909344048678, 'hs': 4, 'en': 230, 'dropout': 0.0028410073823305665}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:17:46,604] Trial 19 finished with value: 35.89724534559214 and parameters: {'lr': 0.0253847168595005, 'hs': 8, 'en': 247, 'dropout': 0.0016226664866317952}. Best is trial 11 with value: 2.5499174386939005.
[I 2024-05-27 23:19:41,784] A new study created in memory with name: no-name-bba4c56f-eadc-42e9-9f26-057732fe3ed4
TKAN Reynolds y_3 1.55809307342524 0.9139009114025402 -8.6 31.5
[I 2024-05-27 23:22:40,571] Trial 0 finished with value: 111.37485234551814 and parameters: {'lr': 0.027293905378293834, 'hs': 8, 'en': 240, 'dropout': 0.009503853504277408}. Best is trial 0 with value: 111.37485234551814.
[I 2024-05-27 23:27:43,303] Trial 1 finished with value: 176.18245340699045 and parameters: {'lr': 0.03286566251705274, 'hs': 8, 'en': 417, 'dropout': 0.00319234354621978}. Best is trial 0 with value: 111.37485234551814.
[I 2024-05-27 23:33:24,909] Trial 2 finished with value: 94.82520842511015 and parameters: {'lr': 0.048397530051283895, 'hs': 8, 'en': 478, 'dropout': 0.00378190841639327}. Best is trial 2 with value: 94.82520842511015.
[I 2024-05-27 23:35:42,088] Trial 3 finished with value: 132.50875141695934 and parameters: {'lr': 0.05575231126162382, 'hs': 8, 'en': 180, 'dropout': 0.008075809417028342}. Best is trial 2 with value: 94.82520842511015.
[I 2024-05-27 23:40:57,250] Trial 4 finished with value: 143.18851035337173 and parameters: {'lr': 0.07535364683161211, 'hs': 5, 'en': 440, 'dropout': 0.0050696584484408195}. Best is trial 2 with value: 94.82520842511015.
[I 2024-05-27 23:45:51,575] Trial 5 finished with value: 177.0206259100037 and parameters: {'lr': 0.04747621241482533, 'hs': 8, 'en': 411, 'dropout': 0.0008966752964797548}. Best is trial 2 with value: 94.82520842511015.
[I 2024-05-27 23:50:43,710] Trial 6 finished with value: 52.64352441329171 and parameters: {'lr': 0.0194043724358798, 'hs': 2, 'en': 405, 'dropout': 0.0020034416353458353}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-27 23:52:49,652] Trial 7 finished with value: 101.29168397106581 and parameters: {'lr': 0.0795318840353632, 'hs': 2, 'en': 165, 'dropout': 0.006965865007149081}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-27 23:56:36,905] Trial 8 finished with value: 59.09993540242383 and parameters: {'lr': 0.060985927941751436, 'hs': 6, 'en': 309, 'dropout': 0.009256599673564835}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-27 23:58:21,046] Trial 9 finished with value: 262.27350463761917 and parameters: {'lr': 0.033828477628241795, 'hs': 8, 'en': 137, 'dropout': 0.0009218241591344534}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-27 23:58:45,737] Trial 10 finished with value: 283.0639346430077 and parameters: {'lr': 0.003536845300336943, 'hs': 2, 'en': 16, 'dropout': 0.002560910640646742}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-28 00:02:29,936] Trial 11 finished with value: 143.20352608410474 and parameters: {'lr': 0.0009146005767062711, 'hs': 5, 'en': 307, 'dropout': 0.005560340406069624}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-28 00:06:43,295] Trial 12 finished with value: 144.09472304897446 and parameters: {'lr': 0.09913911820256975, 'hs': 6, 'en': 351, 'dropout': 0.009328312463660303}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-28 00:10:34,635] Trial 13 finished with value: 217.28251164520256 and parameters: {'lr': 0.016863366747767818, 'hs': 4, 'en': 319, 'dropout': 0.006709588620826062}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-28 00:15:09,642] Trial 14 finished with value: 258.7793471590864 and parameters: {'lr': 0.06377385385465444, 'hs': 3, 'en': 377, 'dropout': 0.0020605727440663516}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-28 00:18:10,546] Trial 15 finished with value: 111.75948645310791 and parameters: {'lr': 0.01602049778885504, 'hs': 6, 'en': 246, 'dropout': 0.004004199242518021}. Best is trial 6 with value: 52.64352441329171.
[I 2024-05-28 00:24:07,958] Trial 16 finished with value: 4.830886589826812 and parameters: {'lr': 0.07325005644873986, 'hs': 6, 'en': 500, 'dropout': 1.2405413629641877e-05}. Best is trial 16 with value: 4.830886589826812.
[I 2024-05-28 00:30:03,141] Trial 17 finished with value: 47.42598100616772 and parameters: {'lr': 0.09402771812019123, 'hs': 4, 'en': 493, 'dropout': 0.00024155470774943886}. Best is trial 16 with value: 4.830886589826812.
[I 2024-05-28 00:35:54,395] Trial 18 finished with value: 13.474895332459809 and parameters: {'lr': 0.09787474571040795, 'hs': 4, 'en': 489, 'dropout': 0.00024611762805211245}. Best is trial 16 with value: 4.830886589826812.
[I 2024-05-28 00:41:27,066] Trial 19 finished with value: 75.4163404909314 and parameters: {'lr': 0.08595847595628496, 'hs': 4, 'en': 464, 'dropout': 0.00017371832688253076}. Best is trial 16 with value: 4.830886589826812.
[I 2024-05-28 00:44:22,741] A new study created in memory with name: no-name-d1e0d196-72d0-4ca7-b242-42aa8ce74681
TKAN Reynolds y_1 4.66800137924107 1.4391857426742025 -5.5 40.3
[I 2024-05-28 00:48:11,682] Trial 0 finished with value: 48.63674535219982 and parameters: {'lr': 0.0443535688613786, 'hs': 8, 'en': 229, 'dropout': 0.00416436793392385}. Best is trial 0 with value: 48.63674535219982.
[I 2024-05-28 00:50:17,032] Trial 1 finished with value: 71.39570469549115 and parameters: {'lr': 0.04682278752553555, 'hs': 8, 'en': 117, 'dropout': 0.00916634241093165}. Best is trial 0 with value: 48.63674535219982.
[I 2024-05-28 00:50:55,117] Trial 2 finished with value: 71.36534747660615 and parameters: {'lr': 0.06264463746683423, 'hs': 6, 'en': 28, 'dropout': 0.0036779706353358295}. Best is trial 0 with value: 48.63674535219982.
[I 2024-05-28 00:55:32,698] Trial 3 finished with value: 48.39896308516145 and parameters: {'lr': 0.06417583186828485, 'hs': 7, 'en': 277, 'dropout': 0.0016871121914122699}. Best is trial 3 with value: 48.39896308516145.
[I 2024-05-28 01:01:20,815] Trial 4 finished with value: 48.38691646123189 and parameters: {'lr': 0.02284353944175604, 'hs': 5, 'en': 351, 'dropout': 0.005500492327787163}. Best is trial 4 with value: 48.38691646123189.
[I 2024-05-28 01:06:17,904] Trial 5 finished with value: 50.077051415219245 and parameters: {'lr': 0.03450120049540999, 'hs': 5, 'en': 297, 'dropout': 0.009414355427821059}. Best is trial 4 with value: 48.38691646123189.
[I 2024-05-28 01:12:58,025] Trial 6 finished with value: 29.422364324499142 and parameters: {'lr': 0.06949719157905344, 'hs': 7, 'en': 402, 'dropout': 0.0031428280859203453}. Best is trial 6 with value: 29.422364324499142.
[I 2024-05-28 01:14:15,131] Trial 7 finished with value: 69.62546957554916 and parameters: {'lr': 0.03630348631647885, 'hs': 2, 'en': 69, 'dropout': 0.00321595804090318}. Best is trial 6 with value: 29.422364324499142.
[I 2024-05-28 01:20:09,252] Trial 8 finished with value: 27.23245699124512 and parameters: {'lr': 0.028306546816815038, 'hs': 8, 'en': 357, 'dropout': 0.008185419651555172}. Best is trial 8 with value: 27.23245699124512.
[I 2024-05-28 01:22:00,325] Trial 9 finished with value: 69.91535706723869 and parameters: {'lr': 0.058104266246467313, 'hs': 4, 'en': 102, 'dropout': 0.004778563767788261}. Best is trial 8 with value: 27.23245699124512.
[I 2024-05-28 01:30:07,315] Trial 10 finished with value: 46.33908506198565 and parameters: {'lr': 0.001439950181221946, 'hs': 3, 'en': 496, 'dropout': 0.006943748073344688}. Best is trial 8 with value: 27.23245699124512.
[I 2024-05-28 01:37:19,912] Trial 11 finished with value: 168.17233416731042 and parameters: {'lr': 0.08435688291603691, 'hs': 7, 'en': 436, 'dropout': 0.000618843182090407}. Best is trial 8 with value: 27.23245699124512.
[I 2024-05-28 01:43:48,979] Trial 12 finished with value: 48.25496585541765 and parameters: {'lr': 0.09523212642338741, 'hs': 7, 'en': 393, 'dropout': 0.00717146476236832}. Best is trial 8 with value: 27.23245699124512.
[I 2024-05-28 01:47:13,740] Trial 13 finished with value: 51.75448287686726 and parameters: {'lr': 0.01626696283872272, 'hs': 8, 'en': 198, 'dropout': 0.00727430659518357}. Best is trial 8 with value: 27.23245699124512.
